H300-CP-No.1
ñºëO,ë™íËì˙éû ,â◊èd kN,ïœà  mm,ï\-èc É ,ï\-â° É ,ó†-èc É ,ó†-â° É ,èc-ïΩãœ É ,â°-ïΩãœ É 
1,2019/11/01 17:06:57,0.064,-0.004,-0.947867,0.947418,0.947867,0.947867,0,0.947643
2,2019/11/01 17:06:59,0.104,0,0.947867,0.947418,2.8436,0,1.89573,0.473709
3,2019/11/01 17:07:00,0.152,0,0,0.947418,2.8436,0,1.4218,0.473709
4,2019/11/01 17:07:01,0.192,0.008,1.89573,0,3.79147,0,2.8436,0
5,2019/11/01 17:07:02,0.216,0.004,0.947867,0,3.79147,0,2.36967,0
6,2019/11/01 17:07:03,0.52,0.012,6.63507,-1.89484,11.3744,-1.89573,9.00474,-1.89529
7,2019/11/01 17:07:04,1.432,0.032,21.8009,-6.63193,27.4882,-7.58294,24.6446,-7.10743
8,2019/11/01 17:07:05,2.776,0.06,41.7062,-12.3164,50.237,-13.2701,45.9716,-12.7933
9,2019/11/01 17:07:06,3.888,0.08,58.7678,-16.1061,68.2464,-18.9573,63.5071,-17.5317
10,2019/11/01 17:07:08,4.984,0.1,75.8294,-22.738,85.3081,-24.6446,80.5687,-23.6913
11,2019/11/01 17:07:09,6.096,0.124,92.891,-26.5277,103.318,-30.3318,98.1043,-28.4297
12,2019/11/01 17:07:10,7.192,0.152,110.9,-31.2648,120.379,-34.1232,115.64,-32.694
13,2019/11/01 17:07:11,8.232,0.176,127.962,-36.0019,136.493,-37.9147,132.227,-36.9583
14,2019/11/01 17:07:12,9.2,0.196,144.076,-41.6864,150.711,-42.654,147.393,-42.1702
15,2019/11/01 17:07:13,10.192,0.216,160.19,-46.4235,167.773,-47.3934,163.981,-46.9084
16,2019/11/01 17:07:15,11.208,0.248,177.251,-51.1606,182.938,-52.1327,180.095,-51.6466
17,2019/11/01 17:07:16,12.192,0.268,193.365,-54.9503,197.156,-55.9242,195.261,-55.4372
18,2019/11/01 17:07:17,13.168,0.288,209.479,-59.6874,213.27,-60.6635,211.374,-60.1754
19,2019/11/01 17:07:18,14.12,0.308,224.645,-65.3719,228.436,-64.455,226.54,-64.9134
20,2019/11/01 17:07:19,15.104,0.324,240.758,-69.1615,243.602,-68.2464,242.18,-68.704
21,2019/11/01 17:07:20,16.072,0.344,257.82,-74.846,257.82,-72.9858,257.82,-73.9159
22,2019/11/01 17:07:22,17.088,0.368,273.934,-79.5831,274.882,-77.7251,274.408,-78.6541
23,2019/11/01 17:07:23,18.056,0.384,289.1,-83.3728,290.047,-80.5687,289.573,-81.9708
24,2019/11/01 17:07:24,19.016,0.404,306.161,-88.1099,305.213,-86.2559,305.687,-87.1829
25,2019/11/01 17:07:25,19.824,0.42,316.588,-90.9522,312.796,-89.0995,314.692,-90.0258
26,2019/11/01 17:07:26,19.544,0.42,312.796,-90.0047,310.9,-87.2038,311.848,-88.6043
27,2019/11/01 17:07:27,19.632,0.416,314.692,-90.9522,312.796,-88.1517,313.744,-89.5519
28,2019/11/01 17:07:29,19.92,0.424,320.379,-91.8996,317.536,-89.0995,318.957,-90.4995
29,2019/11/01 17:07:30,20.216,0.432,325.118,-92.847,323.223,-90.9953,324.171,-91.9211
30,2019/11/01 17:07:31,20.6,0.436,330.806,-94.7418,327.962,-92.891,329.384,-93.8164
31,2019/11/01 17:07:32,20.976,0.436,337.441,-96.6367,334.597,-94.7867,336.019,-95.7117
32,2019/11/01 17:07:33,21.392,0.444,344.076,-98.5315,341.232,-95.7346,342.654,-97.133
33,2019/11/01 17:07:34,21.888,0.456,352.607,-102.321,349.763,-98.5782,351.185,-100.45
34,2019/11/01 17:07:36,22.368,0.464,360.19,-103.269,357.346,-100.474,358.768,-101.871
35,2019/11/01 17:07:37,22.976,0.48,369.668,-106.111,366.825,-103.318,368.246,-104.714
36,2019/11/01 17:07:38,23.608,0.488,381.043,-108.953,377.251,-106.161,379.147,-107.557
37,2019/11/01 17:07:39,24.216,0.504,391.469,-111.795,386.73,-108.057,389.1,-109.926
38,2019/11/01 17:07:40,24.88,0.512,401.896,-114.638,398.104,-111.848,400,-113.243
39,2019/11/01 17:07:41,25.576,0.52,413.27,-118.427,408.531,-114.692,410.9,-116.56
40,2019/11/01 17:07:43,26.272,0.532,424.645,-122.217,419.905,-118.483,422.275,-120.35
41,2019/11/01 17:07:44,26.984,0.548,436.019,-125.059,431.28,-121.327,433.649,-123.193
42,2019/11/01 17:07:45,27.664,0.56,447.393,-130.744,442.654,-124.171,445.024,-127.457
43,2019/11/01 17:07:46,28.376,0.572,458.768,-133.586,453.081,-127.962,455.924,-130.774
44,2019/11/01 17:07:47,29.12,0.58,472.038,-137.376,464.455,-132.701,468.246,-135.039
45,2019/11/01 17:07:48,29.704,0.592,480.569,-139.27,473.934,-132.701,477.251,-135.986
46,2019/11/01 17:07:50,29.544,0.592,477.725,-138.323,469.194,-131.754,473.46,-135.038
47,2019/11/01 17:07:51,29.448,0.592,475.829,-138.323,468.246,-131.754,472.038,-135.038
48,2019/11/01 17:07:52,29.424,0.6,475.829,-138.323,467.299,-132.701,471.564,-135.512
49,2019/11/01 17:07:53,29.432,0.6,475.829,-137.376,467.299,-132.701,471.564,-135.039
50,2019/11/01 17:07:54,29.432,0.6,475.829,-138.323,467.299,-131.754,471.564,-135.038
51,2019/11/01 17:07:55,29.432,0.6,475.829,-138.323,467.299,-132.701,471.564,-135.512
52,2019/11/01 17:07:57,29.456,0.6,475.829,-138.323,468.246,-131.754,472.038,-135.038
53,2019/11/01 17:07:58,29.472,0.6,476.777,-138.323,468.246,-131.754,472.512,-135.038
54,2019/11/01 17:07:59,29.488,0.6,476.777,-138.323,468.246,-131.754,472.512,-135.038
55,2019/11/01 17:08:00,29.512,0.6,477.725,-139.27,469.194,-132.701,473.46,-135.986
56,2019/11/01 17:08:01,29.544,0.6,477.725,-138.323,469.194,-132.701,473.46,-135.512
57,2019/11/01 17:08:02,28.272,0.592,450.237,-129.796,431.28,-121.327,440.758,-125.562
